,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
63,64,bayes_3R16PJFTT6DASX9WMNTL5T2FLMX4KC_A3DTPGXKABAFEJ_33IZTU6J85N21278199UIAL9GPEXSR_results.,317.0,22815.74583333332,10773.375,12406.691666666666
64,65,bayes_3OPLMF3EV897YB1KPSKIJ2LU21SNLL_AHFGWXN0A2PJM_3R3YRB5GRJP6K2RJF4CGD3S07SCUAD_results.,235.0,15960.561551999917,6674.199687999877,8750.516632000166
65,66,bayes_3KG2UQJ0NMAIP8HXHXSE0OKOCTUQN0_A2EI4EV6GQ9CMK_3T111IHZ5IC0ZRPXJ43BCXUWS2OR95_results.,492.0,15111.451939999824,16598.574092000294,30415.996040000136
66,67,bayes_386T3MLZMQH9Y8PUUX9G3L3BAIJ80U_A22JRQYQBVJ6LK_3X1FV8S5J1D778TM6UEV5B5MMZ0GVF_results.,466.0,10434.057328000054,13502.025024007296,8448.645850000123
67,68,bayes_3WA2XVDZFP3LLKL09PBX4W9OW0YE6H_A3JBLARP68S0X7_39LNWE0K4YILQKAHRS4TU1GI1XXUI6_results.,243.0,10153.74608399997,8652.72003600007,9273.27421599981
68,69,bayes_3ZXV7Q5FKEA27FUXER868EMY403FCX_A1WD0DK58AKBVE_30OG32W0SYXWFPOMY82GVRQW2ERNE5_results.,482.0,15214.618707999869,13692.966068000045,11718.40597200007
69,70,bayes_3YGE63DIOBJKO9LCS0PMH16XS89W0M_A3FJ3XMXO8UAJ0_3RU7GD8VPSFXST5HFIZDOXZ7KDRSP2_results.,480.0,9466.78727999998,6117.468812000081,6066.622109999978
70,71,bayes_351S7I5UHCI13LDKM7853N82YCNNJJ_A3B0TDW8S89NSI_32KTQ2V7RH192BC5EW7UQY0MOPK9MG_results.,346.0,10802.737809333606,5919.013565333659,4585.908008666676
71,72,bayes_3V7ICJJA0D29ZU52GAGS6QJPZRLB4V_A2BXRS100OCUAE_3IFS6Q0HJM55B7ID2N9TF0YV09TISZ_results.,375.0,9801.923908000035,6440.648479999982,5716.241971999911
72,73,bayes_3TFJJUELTKBI6LILQWTZOVS9X3I2C0_A9L9F3ZBPMFFD_3RKNTXVS3QK734X40YLY0ZU6A63A45_results.,375.0,8990.413572000023,3471.130268000072,2192.8114200000473
73,74,bayes_3FJ2RVH262SG8NBIECJ8M5R1MJ3294_A36NRERHG2J726_3GU1KF0O4MNYB7OF4WDIY8P6IWIPBP_results.,416.0,16828.80900399966,8617.842620000016,6494.871120000092
74,75,bayes_3T5ZXGO9EHAC6XVGKL38VBRXI08ZQE_A3NNDNMBKSZ22H_39O5D9O87XEAENBYKYC6WPSNWHF3CG_results.,462.0,13737.162504000013,14031.23075600014,14504.572557999805
75,76,bayes_3HY86PZXQ14QEYK33JZG90I7PRWE12_A38RHRTIP0PYNU_3OSWBBLG1IJWZDOQ4JE5NBZ9B1QDXP_results.,476.0,12085.867511999953,9991.158599999984,9467.403534000052
76,77,bayes_3VEI3XUC0UJI4U8AARU693ZO8B6PR3_A37DKV7XQI7N5J_34T446B1C40EXVC11BUNURUHS1X0CD_results.,477.0,8816.980688000023,8684.35303200005,8444.830596000085
77,78,bayes_3BPP3MA3UF6345O7WTHZTFRLOAGLEL_AWS0W79XZZ01O_32VNZTT0ABQZ2LJL297KVPJG9TF4RW_results.,250.0,18346.957756000073,14434.429631999667,8265.65600199973
78,79,bayes_37VHPF5VZFPTS0KA6D20YM5CIK18CX_AXKM85DGEKNO5_3H0W84IWBOOHUNGERFJX4BV6ARVER2_results.,472.0,21309.322776000132,13390.89559200038,12592.952166000096
79,80,bayes_3XDJY5RK6V7OVTE8G1XNBGBDNC5U47_A11UOM2LJ69AE7_3IAEQB9FMI6HADJ0UEIJLSL25CSWDG_results.,457.0,19486.79101200025,19677.23748800015,14903.644841999736
