participant_ID,treatment,part,trial_no,rounds,red_prior_prob,true_guilty_suspect,suspect_accused,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,outcome_6,outcome_7,outcome_8,outcome_9,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,correct_suspect_accused,evidence_round
158,1,1,10,7.0,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,4181.455600000371,4918.836800000409,5740.099800000317,6510.916100000388,7332.0523000004905,8086.386700000421,11472.050400000551,12846.130500000512,14594.463700000315,,,1,6
158,1,1,11,3.0,0.1,1,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3344.0826999999485,4031.3473000000013,4751.989699999899,6093.0015999996485,7586.300499999645,,,,,,,1,0
158,1,1,12,1.0,0.1,1,1,0.0,,,,,,,,,0.0,,,,,,,,,2990.116700000003,4113.123000000081,5773.924199999879,,,,,,,,,1,0
158,1,1,13,7.0,0.7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,3198.1360999998524,4019.2636999996757,4840.528999999729,5645.114599999874,6466.265699999985,7220.58750000011,8192.609599999998,9231.620100000251,10979.36050000029,,,1,3
158,1,1,14,7.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2861.427500000293,3766.7654000004177,4588.213800000411,5392.681600000372,6180.43010000033,7001.786400000338,7789.694300000363,8543.897700000281,10256.267200000457,,,1,0
158,1,1,15,9.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2707.055799999726,3427.753199999767,4098.1138999999375,4751.673000000044,5405.275399999834,6025.518999999894,6645.695399999705,7215.567999999719,7818.915399999525,8338.520499999477,9749.879399999543,1,0
158,1,1,16,9.0,0.9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498.1004999998263,3101.4302999999504,3671.2542999998327,4190.774299999816,4710.314999999875,5229.830300000042,5732.670300000056,6235.466399999966,6738.321499999961,8079.046100000024,9590.30280000012,1,0
158,1,1,17,3.0,0.7,0,0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,2220.7404000000106,2807.3897999999604,3343.651099999927,4718.121199999987,6176.063599999961,,,,,,,1,0
158,1,1,18,1.0,0.5,1,1,1.0,,,,,,,,,1.0,,,,,,,,,3291.65280000004,4749.789099999832,6160.988000000104,,,,,,,,,1,1
158,1,1,19,1.0,0.9,0,0,1.0,,,,,,,,,0.0,,,,,,,,,3409.2813000000056,4699.978800000178,6615.747400000168,,,,,,,,,1,0
158,1,1,20,7.0,0.9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4318.974199999657,4872.07899999964,5374.848899999559,5877.6164999994735,6715.632499999475,7469.729099999557,8089.732599999744,9078.509700000031,10793.121400000064,,,1,0
158,1,1,21,5.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3162.7152000000124,3665.4190000000176,4168.233800000092,4805.109000000058,5324.50920000009,6195.939699999992,9396.877599999709,,,,,1,0
158,1,1,22,5.0,0.7,1,1,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.0,0.0,0.0,,,,,2220.2136999998816,2739.834099999989,3426.863199999741,4063.7658999998107,4700.705199999806,5471.671999999672,7134.29709999956,,,,,1,1
158,1,1,23,3.0,0.9,0,0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,2403.328900000103,3056.917600000231,3727.3166000002752,5034.540100000366,6681.896800000526,,,,,,,1,0
158,1,1,24,9.0,0.5,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2857.719199999945,3461.1517999998528,4014.307799999765,4735.098999999816,5254.875399999742,5757.686099999751,6428.137299999808,6981.200799999691,7483.988999999631,9126.459099999827,11979.053699999882,1,9
158,1,1,25,1.0,0.3,1,1,0.0,,,,,,,,,0.0,,,,,,,,,1957.7156999998367,3415.725999999709,5147.398099999741,,,,,,,,,1,0
159,1,1,1,1.0,0.5,0,1,0.0,,,,,,,,,0.0,,,,,,,,,12822.568500000234,23170.535100000143,30687.934099999948,,,,,,,,,0,0
159,1,1,2,7.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,4805.792300000113,16655.44490000005,20255.1337000002,22039.176800000318,23439.407400000324,24405.82170000033,25605.921300000293,28272.462800000416,31291.16440000041,,,1,2
159,1,1,3,9.0,0.1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4156.467000000025,5789.2639999999865,6939.158299999979,9689.197599999981,11139.03729999995,12056.483199999944,13339.334199999917,14489.273399999913,16340.990300000032,19540.70129999984,22260.725500000062,1,8
159,1,1,4,9.0,0.5,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.719299999742,7024.820599999762,8141.2170999997315,8907.832199999715,9507.99599999971,10524.282099999715,11107.585299999695,11840.96159999978,12857.888099999778,17975.734899999894,20307.800499999794,1,0
159,1,1,5,1.0,0.1,1,1,1.0,,,,,,,,,0.0,,,,,,,,,2490.5845999999437,10707.761599999638,12341.590799999502,,,,,,,,,1,0
159,1,1,6,3.0,0.3,0,0,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3725.692699999925,5109.20519999997,6759.160999999961,11109.944899999758,12792.817299999848,,,,,,,1,0
159,1,1,7,9.0,0.7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3275.1273000000647,4408.147700000105,5741.128700000175,6340.752400000193,8939.368300000244,9522.436900000206,10989.688600000003,11956.412099999989,13139.816500000054,15505.998600000063,17524.45480000013,1,1
159,1,1,8,1.0,0.3,1,1,1.0,,,,,,,,,1.0,,,,,,,,,4538.69480000021,6855.854200000146,8158.861900000103,,,,,,,,,1,1
159,1,1,9,5.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,1.0,0.0,,,,,3406.0900000001825,4106.150900000072,5106.016599999971,6172.763199999815,7906.0447999995495,9572.685699999709,11022.142699999942,,,,,1,3
159,1,1,10,7.0,0.3,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3458.8154999995727,5425.576199999602,6108.501599999702,7375.36779999975,8074.553899999918,8741.800399999804,9358.3000999997,13141.726499999948,14809.7614999999,,,0,0
159,1,1,11,9.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4124.456199999887,4924.041999999911,5573.9700999999195,6124.3578999998745,6640.9504999999035,7474.476099999679,8241.345099999706,9707.600999999706,11107.89749999974,12790.870300000104,14109.2452000003,1,5
159,1,1,12,7.0,0.9,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,4267.2971000001335,5116.870599999922,5650.015299999871,6150.2471999999525,8700.50670000017,9350.408100000308,10150.303400000414,11633.745800000266,13183.12580000007,,,1,4
159,1,1,13,5.0,0.9,0,0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,1.0,0.0,0.0,,,,,4339.971899999981,4990.020199999958,5773.305000000039,7039.846299999779,8506.448299999978,10106.525599999937,11441.701299999982,,,,,1,3
159,1,1,14,5.0,0.3,0,0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2525.41840000015,3491.882400000198,4091.751800000305,4858.64640000011,5608.777500000129,8075.749399999933,9308.921800000118,,,,,1,0
159,1,1,15,3.0,0.9,1,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3242.329799999841,3892.157099999812,4525.4659999998385,8359.065100000047,9592.826399999743,,,,,,,1,0
159,1,1,16,9.0,0.3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954.547399999945,3687.882799999871,4371.3219999998355,5054.872199999786,5654.77439999994,6404.4926000001415,6988.03300000008,7705.213800000201,8321.98940000027,10622.208600000122,12305.554700000304,1,0
159,1,1,17,3.0,0.7,0,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,2656.5100000002662,3723.4821000002216,4356.9475000001285,7223.3420999997425,8656.575699999908,,,,,,,0,0
159,1,1,18,7.0,0.5,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3774.978499999805,5024.550599999839,6007.568999999896,6674.289899999814,7274.051699999783,7790.554799999782,9140.288099999605,11506.025899999484,12524.268799999392,,,1,1
159,1,1,19,1.0,0.7,1,0,0.0,,,,,,,,,0.0,,,,,,,,,3488.2234999999764,5771.074799999927,7075.288199999893,,,,,,,,,0,0
159,1,1,20,3.0,0.5,0,0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,3389.038700000313,4222.200100000433,4838.773500000452,6105.248600000546,7124.7973000006095,,,,,,,1,0
159,1,1,21,3.0,0.1,1,0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,3821.826099999865,4488.353099999729,5072.224299999759,7004.968199999819,8071.966599999896,,,,,,,0,0
159,1,1,22,1.0,0.9,0,0,0.0,,,,,,,,,0.0,,,,,,,,,2308.45630000009,4624.917000000076,5958.350300000177,,,,,,,,,1,0
159,1,1,23,5.0,0.1,1,1,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,2258.942600000045,4758.933699999974,5292.63980000002,6525.948099999941,7092.599000000066,8493.380400000115,9743.9435000004,,,,,1,1
159,1,1,24,5.0,0.7,0,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2883.039800000262,3666.9779000001977,4483.89450000008,5117.72700000011,5901.43250000014,7918.174400000211,9553.56660000012,,,,,0,0
159,1,1,25,7.0,0.7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4533.024999999904,5383.32309999993,6133.065499999964,6916.230799999908,7532.89869999979,8215.856799999829,8849.542799999848,10666.84410000012,12166.845800000074,,,0,0
160,1,1,1,9.0,0.3,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3235.0880000000293,4567.854000000035,5767.250000000014,7333.23199999995,9798.677999999984,15462.576000000012,16128.932000000048,16728.658000000105,17328.348000000067,19943.61000000008,23192.036000000084,1,5
160,1,1,2,7.0,0.5,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3899.728000000008,4849.298000000017,5815.520000000016,6715.115999999999,7797.887999999975,8797.365999999949,9963.503999999964,18509.27799999997,21507.779999999868,,,1,0
160,1,1,3,3.0,0.9,0,0,0.0,0.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,2450.3859999999304,3299.967999999933,4466.06399999991,8880.509999999817,10896.181999999755,,,,,,,1,0
160,1,1,4,5.0,0.3,1,1,1.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2457.0639999999985,3373.288000000009,4722.670000000062,5838.7900000000245,6705.036000000012,11869.122000000049,13934.70400000001,,,,,1,0
160,1,1,5,1.0,0.9,0,0,0.0,,,,,,,,,1.0,,,,,,,,,2983.5440000000267,4716.065999999979,6265.259999999958,,,,,,,,,1,1
160,1,1,6,7.0,0.3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1817.445999999939,3116.8899999998966,3833.1519999998823,4416.207999999898,5082.539999999914,5632.321999999936,6415.3099999999295,7814.599999999915,9280.531999999885,,,1,1
160,1,1,7,9.0,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1334.3800000000342,2317.2680000000496,3050.164000000035,3616.562000000024,4132.980000000015,4649.4100000000235,5165.816000000011,5682.2180000000035,6198.628000000023,7281.382000000098,9047.200000000066,1,1
160,1,1,8,3.0,0.1,1,1,1.0,1.0,1.0,,,,,,,0.0,1.0,0.0,,,,,,,1717.4919999999831,2716.9739999999897,3649.861999999997,4765.96599999997,6598.405999999935,,,,,,,1,2
160,1,1,9,3.0,0.3,1,1,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3201.711999999947,4117.857999999966,5150.69399999995,6816.515999999912,8249.165999999876,,,,,,,1,0
