participant_ID,treatment,part,trial_no,rounds,red_prior_prob,true_guilty_suspect,suspect_accused,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,outcome_6,outcome_7,outcome_8,outcome_9,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,correct_suspect_accused,evidence_round
26,0,1,13,9.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3132.1751999999165,3700.7428999999293,4240.904099999869,4821.1929999998765,5378.043799999938,5924.871699999996,6491.776399999848,7337.924499999711,7851.3062999996855,9490.12039999962,10633.953999999552,1,0
26,0,1,14,1.0,0.5,0,0,1.0,,,,,,,,,0.0,,,,,,,,,3021.800699999753,5836.234899999828,9486.894499999687,,,,,,,,,1,0
26,0,1,15,3.0,0.7,1,0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,,,,,,,2120.445400000189,4095.3737000002425,4934.8447000001925,6592.069500000265,8329.51990000047,,,,,,,0,3
26,0,1,16,5.0,0.3,1,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2488.287999999884,3775.9400999997993,4456.5539999998655,5160.5827999998355,6344.554899999921,7831.184599999816,9020.187999999775,,,,,1,0
26,0,1,17,7.0,0.1,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1908.036599999888,3760.898499999953,4722.447300000002,5234.156599999989,5770.954799999859,6274.297499999838,6799.390999999695,10495.018899999688,11727.516099999762,,,1,0
26,0,1,18,7.0,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1822.7850000002072,2464.931400000199,3070.249300000177,3715.7441000002113,5426.47900000031,6068.571000000302,6973.194000000312,8652.134100000228,9715.654200000345,,,1,0
26,0,1,19,3.0,0.3,1,1,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,2209.206299999904,3167.4118999998195,3792.838699999848,4944.988299999898,6087.141099999972,,,,,,,1,0
26,0,1,20,5.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1918.0868999999368,2421.427099999984,2946.5742999999675,3476.7077000000395,3993.460900000017,5145.67720000001,6376.456800000159,,,,,1,0
26,0,1,21,5.0,0.7,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1622.1606999999606,2127.2549999999,2749.322699999972,3287.7860000000337,4172.424900000113,5254.405200000131,6271.152900000176,,,,,1,0
26,0,1,22,3.0,0.5,0,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3486.6271000000984,5125.475500000277,5949.9191000003575,7628.87720000042,9015.17230000021,,,,,,,0,0
